,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
277,2020,1,Misiones,134,0.0,134
278,2020,1,Neuquén,121,373.0,122
279,2020,1,Río Negro,126,501.0,126
280,2020,1,Salta,170,2.0,170
281,2020,1,San Juan,64,256.0,64
282,2020,1,San Luis,110,148.0,111
283,2020,1,Santa Cruz,39,197.0,39
284,2020,1,Santa Fe,771,137.0,771
285,2020,1,Santiago Del Estero,103,1.0,103
286,2020,1,Tierra Del Fuego,39,289.0,39
287,2020,1,Tucumán,200,22.0,200
288,2019,4,Buenos Aires,4,5.0,4
289,2019,4,Capital Federal,1,1.0,1
290,2019,4,Catamarca,38,1.0,38
291,2019,4,Chaco,118,3.0,118
292,2019,4,Chubut,95,810.0,96
293,2019,4,Córdoba,807,55.0,807
294,2019,4,Corrientes,114,3.0,114
295,2019,4,Entre Ríos,239,13.0,239
296,2019,4,Formosa,47,0.0,47
297,2019,4,Jujuy,89,0.0,89
298,2019,4,La Pampa,90,119.0,90
299,2019,4,La Rioja,49,3.0,49
300,2019,4,Mendoza,185,623.0,186
301,2019,4,Misiones,136,0.0,136
302,2019,4,Neuquén,116,376.0,116
303,2019,4,Río Negro,127,504.0,127
304,2019,4,Salta,172,2.0,172
305,2019,4,San Juan,65,259.0,65
306,2019,4,San Luis,108,148.0,108
307,2019,4,Santa Cruz,39,200.0,39
308,2019,4,Santa Fe,769,150.0,769
309,2019,4,Santiago Del Estero,104,1.0,104
310,2019,4,Tierra Del Fuego,40,291.0,40
311,2019,4,Tucumán,199,23.0,199
312,2019,3,Buenos Aires,4,10.0,4
313,2019,3,Capital Federal,1,3.0,1
314,2019,3,Catamarca,32,9.0,32
315,2019,3,Chaco,114,13.0,114
316,2019,3,Chubut,87,2.0,89
317,2019,3,Córdoba,783,107.0,783
318,2019,3,Corrientes,113,10.0,113
319,2019,3,Entre Ríos,238,45.0,238
320,2019,3,Formosa,46,0.0,46
321,2019,3,Jujuy,87,1.0,87
322,2019,3,La Pampa,91,269.0,91
323,2019,3,La Rioja,50,18.0,50
324,2019,3,Mendoza,223,1.0,224
325,2019,3,Misiones,134,0.0,134
326,2019,3,Neuquén,123,2.0,125
327,2019,3,Río Negro,143,904.0,144
328,2019,3,Salta,152,1.0,152
329,2019,3,San Juan,73,563.0,73
330,2019,3,San Luis,122,291.0,123
331,2019,3,Santa Cruz,38,328.0,38
332,2019,3,Santa Fe,761,228.0,761
333,2019,3,Santiago Del Estero,133,2.0,133
334,2019,3,Tierra Del Fuego,48,544.0,49
335,2019,3,Tucumán,164,32.0,164
336,2019,2,Buenos Aires,4,10.0,4
337,2019,2,Capital Federal,1,3.0,1
338,2019,2,Catamarca,34,9.0,34
339,2019,2,Chaco,109,13.0,109
340,2019,2,Chubut,86,2.0,88
341,2019,2,Córdoba,775,105.0,775
342,2019,2,Corrientes,112,10.0,112
343,2019,2,Entre Ríos,236,44.0,236
344,2019,2,Formosa,46,0.0,46
345,2019,2,Jujuy,87,1.0,87
346,2019,2,La Pampa,90,268.0,90
347,2019,2,La Rioja,50,18.0,50
348,2019,2,Mendoza,223,1.0,224
349,2019,2,Misiones,133,0.0,133
350,2019,2,Neuquén,121,2.0,123
351,2019,2,Río Negro,138,915.0,139
352,2019,2,Salta,143,1.0,143
353,2019,2,San Juan,69,564.0,70
354,2019,2,San Luis,117,291.0,117
355,2019,2,Santa Cruz,30,325.0,31
356,2019,2,Santa Fe,743,226.0,743
357,2019,2,Santiago Del Estero,127,2.0,127
358,2019,2,Tierra Del Fuego,47,544.0,47
