,Año,Trimestre,Provincia,Hasta 512 kbps,Entre 1 Mbps y 6 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Entre 512 Kbps y 1 Mbps,Entre 6 Mbps y 10 Mbps,Más de 30 Mbps,Otros
170,2019.0,3.0,Capital Federal,105.0,805.398,148.001,259.596,21.116,165.87900000000002,665.292,0.0
171,2019.0,3.0,Catamarca,34.0,303.146,398.94,72.0,1.056,121.173,15.0,2.169
172,2019.0,3.0,Chaco,69.0,1004.992,13.336,450.549,3.013,30.196,620.914,9.141
173,2019.0,3.0,Chubut,74.0,484.006,732.445,1.24,5.088,330.71500000000003,613.0,3.353
174,2019.0,3.0,Córdoba,83.0,225.735,155.449,148.253,20.24,120.637,182.832,8.065
175,2019.0,3.0,Corrientes,10.0,745.777,10.348,255.143,6.341,29.628,682.535,6.883
176,2019.0,3.0,Entre Ríos,19.0,95.501,17.064,304.932,8.601,262.954,419.888,16.895
177,2019.0,3.0,Formosa,1.11,259.384,1276.846,386.877,193.173,8.047,3.498,100.0
178,2019.0,3.0,Jujuy,27.0,278.106,1014.846,56.0,7.248,10.239,3.151,14.14
179,2019.0,3.0,La Pampa,237.0,71.082,389.223,1359.0,320.743,7.92,864.0,1.62
180,2019.0,3.0,La Rioja,9.0,37.877,571.32,22.0,789.0,4.786,47.0,0.0
181,2019.0,3.0,Mendoza,21.0,269.534,756.346,1273.0,11.483,1207.752,223.0,1.563
182,2019.0,3.0,Misiones,47.0,494.078,11.256,447.675,3.927,29.375,137.808,14.99
183,2019.0,3.0,Neuquén,45.0,195.571,1062.543,272.675,7.458,185.405,194.026,645.0
184,2019.0,3.0,Río Negro,47.0,954.757,31.757,158.055,2.043,154.196,74.081,17.771
185,2019.0,3.0,Salta,49.0,63.193,20.303,320.109,3.844,66.226,8.796,7.412
186,2019.0,3.0,San Juan,22.0,1168.7130000000002,131.137,41.0,671.0,360.886,81.0,909.0
187,2019.0,3.0,San Luis,57.0,1354.015,467.0,68.238,391.0,284.833,0.0,36.073
188,2019.0,3.0,Santa Cruz,28.0,637.615,1203.0,27.0,5.469,812.663,3.0,540.0
189,2019.0,3.0,Santa Fe,640.0,282.233,245.929,84.333,22.351,193.286,1166.372,27.895
190,2019.0,3.0,Santiago Del Estero,39.0,730.916,3.612,86.0,909.865,885.341,676.0,35.001
191,2019.0,3.0,Tierra Del Fuego,6.0,1066.9919999999995,275.482,82.0,119.0,18.678,224.0,9.678
192,2019.0,3.0,Tucumán,16.0,472.48,245.133,843.0,3.954,95.645,3.782,0.0
193,2019.0,4.0,Buenos Aires,658.863,1199.69,385.967,1379.642,65.233,1376.182,0.0,20.676
194,2019.0,4.0,Capital Federal,307.0,669.5420000000001,120.842,206.809,21.057,147.18099999999998,746.83,0.0
195,2019.0,4.0,Catamarca,63.0,271.791,824.489,804.0,891.0,53.573,4.698,3.098
196,2019.0,4.0,Chaco,83.0,1382.644,30.902,13.516,2.894,20.957,516.819,6.988
197,2019.0,4.0,Chubut,158.0,469.075,903.718,1.24,933.0,201.756,613.0,4.121
198,2019.0,4.0,Córdoba,142.0,239.811,135.30399999999997,114.111,19.943,118.232,239.882,10.35
