,Año,Trimestre,Provincia,Velocidad,Conexiones
247,2020.0,2.0,Entre Ríos,Hasta 512 kbps,130.0
248,2020.0,2.0,Formosa,Hasta 512 kbps,391.0
249,2020.0,2.0,Jujuy,Hasta 512 kbps,55.0
250,2020.0,2.0,La Pampa,Hasta 512 kbps,293.0
251,2020.0,2.0,La Rioja,Hasta 512 kbps,21.0
252,2020.0,2.0,Mendoza,Hasta 512 kbps,58.0
253,2020.0,2.0,Misiones,Hasta 512 kbps,71.0
254,2020.0,2.0,Neuquén,Hasta 512 kbps,218.0
255,2020.0,2.0,Río Negro,Hasta 512 kbps,114.0
256,2020.0,2.0,Salta,Hasta 512 kbps,129.0
257,2020.0,2.0,San Juan,Hasta 512 kbps,48.0
258,2020.0,2.0,San Luis,Hasta 512 kbps,105.0
259,2020.0,2.0,Santa Cruz,Hasta 512 kbps,66.0
260,2020.0,2.0,Santa Fe,Hasta 512 kbps,568.0
261,2020.0,2.0,Santiago Del Estero,Hasta 512 kbps,133.0
262,2020.0,2.0,Tierra Del Fuego,Hasta 512 kbps,11.0
263,2020.0,2.0,Tucumán,Hasta 512 kbps,52.0
264,2020.0,3.0,Buenos Aires,Hasta 512 kbps,662.9159999999999
265,2020.0,3.0,Capital Federal,Hasta 512 kbps,264.0
266,2020.0,3.0,Catamarca,Hasta 512 kbps,63.0
267,2020.0,3.0,Chaco,Hasta 512 kbps,419.0
268,2020.0,3.0,Chubut,Hasta 512 kbps,158.0
269,2020.0,3.0,Córdoba,Hasta 512 kbps,168.0
270,2020.0,3.0,Corrientes,Hasta 512 kbps,72.0
271,2020.0,3.0,Entre Ríos,Hasta 512 kbps,130.0
272,2020.0,3.0,Formosa,Hasta 512 kbps,391.0
273,2020.0,3.0,Jujuy,Hasta 512 kbps,55.0
274,2020.0,3.0,La Pampa,Hasta 512 kbps,293.0
275,2020.0,3.0,La Rioja,Hasta 512 kbps,21.0
276,2020.0,3.0,Mendoza,Hasta 512 kbps,58.0
277,2020.0,3.0,Misiones,Hasta 512 kbps,71.0
278,2020.0,3.0,Neuquén,Hasta 512 kbps,218.0
279,2020.0,3.0,Río Negro,Hasta 512 kbps,114.0
280,2020.0,3.0,Salta,Hasta 512 kbps,129.0
281,2020.0,3.0,San Juan,Hasta 512 kbps,48.0
282,2020.0,3.0,San Luis,Hasta 512 kbps,105.0
283,2020.0,3.0,Santa Cruz,Hasta 512 kbps,66.0
284,2020.0,3.0,Santa Fe,Hasta 512 kbps,568.0
285,2020.0,3.0,Santiago Del Estero,Hasta 512 kbps,133.0
286,2020.0,3.0,Tierra Del Fuego,Hasta 512 kbps,11.0
287,2020.0,3.0,Tucumán,Hasta 512 kbps,52.0
288,2020.0,4.0,Buenos Aires,Hasta 512 kbps,153.822
289,2020.0,4.0,Capital Federal,Hasta 512 kbps,135.0
290,2020.0,4.0,Catamarca,Hasta 512 kbps,71.0
291,2020.0,4.0,Chaco,Hasta 512 kbps,412.0
292,2020.0,4.0,Chubut,Hasta 512 kbps,106.0
293,2020.0,4.0,Córdoba,Hasta 512 kbps,119.0
294,2020.0,4.0,Corrientes,Hasta 512 kbps,67.0
295,2020.0,4.0,Entre Ríos,Hasta 512 kbps,105.0
296,2020.0,4.0,Formosa,Hasta 512 kbps,56.0
297,2020.0,4.0,Jujuy,Hasta 512 kbps,49.0
298,2020.0,4.0,La Pampa,Hasta 512 kbps,298.0
299,2020.0,4.0,La Rioja,Hasta 512 kbps,18.0
300,2020.0,4.0,Mendoza,Hasta 512 kbps,28.0
301,2020.0,4.0,Misiones,Hasta 512 kbps,51.0
302,2020.0,4.0,Neuquén,Hasta 512 kbps,116.0
303,2020.0,4.0,Río Negro,Hasta 512 kbps,125.0
304,2020.0,4.0,Salta,Hasta 512 kbps,109.0
305,2020.0,4.0,San Juan,Hasta 512 kbps,25.0
306,2020.0,4.0,San Luis,Hasta 512 kbps,58.0
307,2020.0,4.0,Santa Cruz,Hasta 512 kbps,47.0
308,2020.0,4.0,Santa Fe,Hasta 512 kbps,518.0
309,2020.0,4.0,Santiago Del Estero,Hasta 512 kbps,123.0
310,2020.0,4.0,Tierra Del Fuego,Hasta 512 kbps,17.0
311,2020.0,4.0,Tucumán,Hasta 512 kbps,29.0
312,2021.0,1.0,Buenos Aires,Hasta 512 kbps,153.822
313,2021.0,1.0,Capital Federal,Hasta 512 kbps,135.0
314,2021.0,1.0,Catamarca,Hasta 512 kbps,71.0
315,2021.0,1.0,Chaco,Hasta 512 kbps,412.0
316,2021.0,1.0,Chubut,Hasta 512 kbps,106.0
317,2021.0,1.0,Córdoba,Hasta 512 kbps,93.0
318,2021.0,1.0,Corrientes,Hasta 512 kbps,67.0
319,2021.0,1.0,Entre Ríos,Hasta 512 kbps,105.0
320,2021.0,1.0,Formosa,Hasta 512 kbps,56.0
321,2021.0,1.0,Jujuy,Hasta 512 kbps,49.0
322,2021.0,1.0,La Pampa,Hasta 512 kbps,298.0
323,2021.0,1.0,La Rioja,Hasta 512 kbps,18.0
324,2021.0,1.0,Mendoza,Hasta 512 kbps,28.0
325,2021.0,1.0,Misiones,Hasta 512 kbps,51.0
326,2021.0,1.0,Neuquén,Hasta 512 kbps,116.0
327,2021.0,1.0,Río Negro,Hasta 512 kbps,125.0
328,2021.0,1.0,Salta,Hasta 512 kbps,109.0
329,2021.0,1.0,San Juan,Hasta 512 kbps,25.0
330,2021.0,1.0,San Luis,Hasta 512 kbps,58.0
331,2021.0,1.0,Santa Cruz,Hasta 512 kbps,50.0
332,2021.0,1.0,Santa Fe,Hasta 512 kbps,518.0
333,2021.0,1.0,Santiago Del Estero,Hasta 512 kbps,123.0
334,2021.0,1.0,Tierra Del Fuego,Hasta 512 kbps,17.0
335,2021.0,1.0,Tucumán,Hasta 512 kbps,29.0
336,2021.0,2.0,Buenos Aires,Hasta 512 kbps,222.007
337,2021.0,2.0,Capital Federal,Hasta 512 kbps,294.0
338,2021.0,2.0,Catamarca,Hasta 512 kbps,71.0
339,2021.0,2.0,Chaco,Hasta 512 kbps,412.0
340,2021.0,2.0,Chubut,Hasta 512 kbps,104.0
341,2021.0,2.0,Córdoba,Hasta 512 kbps,99.0
342,2021.0,2.0,Corrientes,Hasta 512 kbps,67.0
343,2021.0,2.0,Entre Ríos,Hasta 512 kbps,107.0
344,2021.0,2.0,Formosa,Hasta 512 kbps,381.0
