,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,BAF,Dial Up
290,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,71,1.0
291,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,144,5.0
292,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,168,904.0
293,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,1,68.0
294,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,155,4.0
295,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,271,22.0
296,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,62,0.0
297,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,118,0.0
298,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,114,171.0
299,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,86,4.0
300,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,291,777.0
301,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,186,0.0
302,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,160,468.0
303,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,162,548.0
304,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,206,5.0
305,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,104,281.0
306,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,135,192.0
307,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,50,198.0
308,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,888,110.0
309,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,119,2.0
310,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,55,312.0
311,2022,4,Mendoza,38.0,78.0,147.0,28.0,2.0,292.0,263,30.0
312,2022,4,Misiones,33.0,87.0,47.0,11.0,8.0,186.0,5,6.0
313,2022,4,Misiones,33.0,87.0,47.0,11.0,8.0,186.0,2,2.0
314,2022,4,Misiones,33.0,87.0,47.0,11.0,8.0,186.0,71,1.0
315,2022,4,Misiones,33.0,87.0,47.0,11.0,8.0,186.0,144,5.0
316,2022,4,Misiones,33.0,87.0,47.0,11.0,8.0,186.0,168,904.0
317,2022,4,Misiones,33.0,87.0,47.0,11.0,8.0,186.0,1,68.0
318,2022,4,Misiones,33.0,87.0,47.0,11.0,8.0,186.0,155,4.0
