,Año,Trimestre,Provincia,Tecnologia,Conexiones,Zona,Penetracion cada 100 hab,Penetracion cada 100 hogares
179,2021,1,La Rioja,ADSL,17000,Oeste,5.4,21.6
180,2021,1,Mendoza,ADSL,92000,Oeste,5.28,21.12
181,2021,1,Misiones,ADSL,48000,Noreste,3.75,15.0
182,2021,1,Neuquén,ADSL,30000,Sur,4.13,16.52
183,2021,1,Río Negro,ADSL,49000,Sur,6.43,25.72
184,2021,1,Salta,ADSL,55000,Noroeste,3.82,15.28
185,2021,1,San Juan,ADSL,40000,Oeste,4.89,19.56
186,2021,1,San Luis,ADSL,8000,Oeste,1.48,5.92
187,2021,1,Santa Cruz,ADSL,12000,Sur,3.6,14.4
188,2021,1,Santa Fe,ADSL,277000,Centro,8.15,32.6
189,2021,1,Santiago Del Estero,ADSL,26000,Noreste,2.47,9.88
190,2021,1,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
191,2021,1,Tucumán,ADSL,147000,Noroeste,5.98,23.92
192,2020,4,Buenos Aires,ADSL,636000,Centro,3.62,14.48
193,2020,4,Capital Federal,ADSL,163000,Centro,5.22,20.88
194,2020,4,Catamarca,ADSL,27000,Noroeste,6.82,27.28
195,2020,4,Chaco,ADSL,44000,Noreste,3.86,15.44
196,2020,4,Chubut,ADSL,46000,Sur,7.63,30.52
197,2020,4,Córdoba,ADSL,267000,Centro,8.07,32.28
198,2020,4,Corrientes,ADSL,50000,Noreste,4.18,16.72
199,2020,4,Entre Ríos,ADSL,86000,Centro,6.03,24.12
200,2020,4,Formosa,ADSL,21000,Noreste,3.96,15.84
201,2020,4,Jujuy,ADSL,33000,Noroeste,4.14,16.56
202,2020,4,La Pampa,ADSL,9000,Oeste,2.46,9.84
203,2020,4,La Rioja,ADSL,18000,Oeste,5.71,22.84
204,2020,4,Mendoza,ADSL,92000,Oeste,5.28,21.12
205,2020,4,Misiones,ADSL,49000,Noreste,3.83,15.32
206,2020,4,Neuquén,ADSL,30000,Sur,4.13,16.52
207,2020,4,Río Negro,ADSL,49000,Sur,6.43,25.72
208,2020,4,Salta,ADSL,57000,Noroeste,3.96,15.84
209,2020,4,San Juan,ADSL,40000,Oeste,4.89,19.56
